;True;Target;Sample;Normalized Expression
;True;CXCL9;LM36;0,0145733739440913
;True;CXCL9;LM37;0,0329213234877055
;True;CXCL9;LM38;0,00120226835653313
;True;CXCL9;LM39;0,500275331313861
;True;IFN-y;LM36;0,118241716891421
;True;IFN-y;LM37;0,0057263258961389
;True;IFN-y;LM38;0,0872578114921713
;True;IFN-y;LM39;0,222242614491037
;True;IL-10;LM36;1,10107842216102E-05
;True;IL-10;LM37;0,00219086461231084
;True;IL-10;LM38;0,000291251682046941
;True;IL-10;LM39;0,0186474877125161
;True;IL-12;LM36;0,0068349067335252
;True;IL-12;LM37;0,000514193994424353
;True;IL-12;LM38;0,0121472015061042
;True;IL-12;LM39;0,00219848961923327
;True;IL-6;LM36;0,0957457042618175
;True;IL-6;LM37;0,0299330143911376
;True;IL-6;LM38;0,0587896217915342
;True;IL-6;LM39;0,00502383756340872
;True;STAT6;LM36;0,0728940930012887
;True;STAT6;LM37;0,00437517394795145
;True;STAT6;LM38;0,110770896978674
;True;STAT6;LM39;0,022467484215805
;True;TGF-b;LM36;0,0314581541925485
;True;TGF-b;LM37;0,0126916959962151
;True;TGF-b;LM38;0,00706814142755241
;True;TGF-b;LM39;0,117906900547033
