labels,EH_ID,dpi,weight,weight_dpi0,Wchange,fecweight,,,,,,,,,,
EKV,LM0234,3,33.00,32.76,100.73,1.46,,,,,,,,,,
QUZ,LM0235,3,19.13,19.58,97.70,1.12,,,,,,,,,,
ADG,LM0236,3,27.45,26.25,104.57,2.11,,,,,,,,,,
KUZ,LM0238,3,21.42,21.39,100.14,1.46,,,,,,,,,,
EKX,LM0240,3,21.24,20.45,103.86,1.60,,,,,,,,,,
QTX,LM0248,3,22.06,23.46,94.03,1.57,,,,,,,,,,
LNU,LM0249,3,25.92,26.10,99.31,1.86,,,,,,,,,,
DFU,LM0255,3,17.98,18.26,98.47,1.49,,,,,,,,,,
LOW,LM0257,3,21.70,22.75,95.38,1.79,,,,,,,,,,
FYZ,LM0258,3,19.44,19.74,98.48,1.92,,,,,,,,,,
GTW,LM0259,3,29.46,28.89,101.97,1.68,,,,,,,,,,
AIO,LM0229,3,18.85,19.06,98.90,2.07,,,,,,,,,,
GIU,LM0232,3,27.00,26.37,102.39,1.35,,,,,,,,,,
ERY,LM0233,3,30.71,29.77,103.16,1.66,,,,,,,,,,
EFQ,LM0239,3,19.33,19.41,99.59,1.99,,,,,,,,,,
BKM,LM0247,3,26.04,27.13,95.98,2.77,,,,,,,,,,
GLO,LM0251,3,22.36,23.16,96.55,1.98,,,,,,,,,,
CHI,LM0254,3,22.35,22.32,100.13,2.15,,,,,,,,,,
KNQ,LM0256,3,30.92,29.15,106.07,1.93,,,,,,,,,,
DTW,LM0261,3,19.56,20.09,97.36,1.25,,,,,,,,,,
ENV,LM0264,3,18.27,17.88,102.18,0.89,,,,,,,,,,
GRV,LM0266,3,22.57,23.94,94.28,0.96,,,,,,,,,,
AWZ,LM0268,3,19.66,20.84,94.34,1.27,,,,,,,,,,
ACO,LM0271,3,23.33,24.25,96.21,1.80,,,,,,,,,,
ELZ,LM0227,4,22.88,23.86,95.89,2.23,,,,,,,,,,
BJR,LM0228,4,24.01,21.23,113.09,1.96,,,,,,,,,,
