;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;CXCL9;Unkn;LM67;;29,356630552174;29,356630552174;0;n. def.;n. def.;n. def.;0;60;
;A02;SYBR;IL-10;Unkn;LM67;;35,8365070907224;35,8365070907224;0;n. def.;n. def.;n. def.;0;60;
;A03;SYBR;IL-12;Unkn;LM67;;36,8474459589566;36,8474459589566;0;n. def.;n. def.;n. def.;0;60;
;A04;SYBR;IL-6;Unkn;LM67;;33,8634111984067;33,8634111984067;0;n. def.;n. def.;n. def.;0;60;
;A05;SYBR;IFN-g;Unkn;LM67;;32,8219637052083;32,8219637052083;0;n. def.;n. def.;n. def.;0;60;
;A06;SYBR;STAT6;Unkn;LM67;;28,6753663219096;28,6753663219096;0;n. def.;n. def.;n. def.;0;60;
;A07;SYBR;TGF-b;Unkn;LM67;;26,664404255229;26,664404255229;0;n. def.;n. def.;n. def.;0;60;
;A08;SYBR;Ppia;Unkn;LM67;;16,9393145543405;16,9393145543405;0;n. def.;n. def.;n. def.;0;60;
;A09;SYBR;Ppib;Pos Ctrl;LM67;;21,3524501113838;21,3524501113838;0;n. def.;n. def.;n. def.;0;60;
;A10;SYBR;CDC42;Pos Ctrl;LM67;;36,1949797846297;36,1949797846297;0;n. def.;n. def.;n. def.;0;60;
;A11;SYBR;;Neg Ctrl;LM67;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B01;SYBR;CXCL9;Unkn;LM67;;27,6272495907291;27,6272495907291;0;n. def.;n. def.;n. def.;0;60;
;B02;SYBR;IL-10;Unkn;LM67;;n. def.;0;0;n. def.;n. def.;0;0;60;
;B03;SYBR;IL-12;Unkn;LM67;;35,6771291499716;35,6771291499716;0;n. def.;n. def.;n. def.;0;60;
;B04;SYBR;IL-6;Unkn;LM67;;33,4432776653583;33,4432776653583;0;n. def.;n. def.;n. def.;0;60;
;B05;SYBR;IFN-g;Unkn;LM67;;30,0301821667227;30,0301821667227;0;n. def.;n. def.;n. def.;0;60;
;B06;SYBR;STAT6;Unkn;LM67;;28,0549424465264;28,0549424465264;0;n. def.;n. def.;n. def.;0;60;
;B07;SYBR;TGF-b;Unkn;LM67;;26,1264584543822;26,1264584543822;0;n. def.;n. def.;n. def.;0;60;
;B08;SYBR;Ppia;Unkn;LM67;;16,7259425545527;16,7259425545527;0;n. def.;n. def.;n. def.;0;60;
;B09;SYBR;Ppib;Pos Ctrl;LM67;;21,8172790806418;21,8172790806418;0;n. def.;n. def.;n. def.;0;60;
;B10;SYBR;CDC42;Pos Ctrl;LM67;;32,2779221719957;32,2779221719957;0;n. def.;n. def.;n. def.;0;60;
;B11;SYBR;;Neg Ctrl;LM67;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C01;SYBR;CXCL9;Unkn;LM68;;30,1867621266837;30,1867621266837;0;n. def.;n. def.;n. def.;0;60;
;C02;SYBR;IL-10;Unkn;LM68;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C03;SYBR;IL-12;Unkn;LM68;;n. def.;0;0;n. def.;n. def.;0;0;60;
;C04;SYBR;IL-6;Unkn;LM68;;32,8292352366833;32,8292352366833;0;n. def.;n. def.;n. def.;0;60;
;C05;SYBR;IFN-g;Unkn;LM68;;33,3023911100091;33,3023911100091;0;n. def.;n. def.;n. def.;0;60;
;C06;SYBR;STAT6;Unkn;LM68;;31,19875669426;31,19875669426;0;n. def.;n. def.;n. def.;0;60;
;C07;SYBR;TGF-b;Unkn;LM68;;34,9955732307599;34,9955732307599;0;n. def.;n. def.;n. def.;0;60;
;C08;SYBR;Ppia;Unkn;LM68;;23,0664684426172;23,0664684426172;0;n. def.;n. def.;n. def.;0;60;
;C09;SYBR;Ppib;Pos Ctrl;LM68;;29,5087766590048;29,5087766590048;0;n. def.;n. def.;n. def.;0;60;
;C10;SYBR;CDC42;Pos Ctrl;LM68;;33,3086237329562;33,3086237329562;0;n. def.;n. def.;n. def.;0;60;
;C11;SYBR;;Neg Ctrl;LM68;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D01;SYBR;CXCL9;Unkn;LM68;;30,6363224876025;30,6363224876025;0;n. def.;n. def.;n. def.;0;60;
;D02;SYBR;IL-10;Unkn;LM68;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D03;SYBR;IL-12;Unkn;LM68;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D04;SYBR;IL-6;Unkn;LM68;;33,5422880435394;33,5422880435394;0;n. def.;n. def.;n. def.;0;60;
;D05;SYBR;IFN-g;Unkn;LM68;;33,9175926302552;33,9175926302552;0;n. def.;n. def.;n. def.;0;60;
;D06;SYBR;STAT6;Unkn;LM68;;30,6363675272996;30,6363675272996;0;n. def.;n. def.;n. def.;0;60;
;D07;SYBR;TGF-b;Unkn;LM68;;31,9922321211699;31,9922321211699;0;n. def.;n. def.;n. def.;0;60;
;D08;SYBR;Ppia;Unkn;LM68;;23,2045111255277;23,2045111255277;0;n. def.;n. def.;n. def.;0;60;
;D09;SYBR;Ppib;Pos Ctrl;LM68;;30,7901044591547;30,7901044591547;0;n. def.;n. def.;n. def.;0;60;
;D10;SYBR;CDC42;Pos Ctrl;LM68;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D11;SYBR;;Neg Ctrl;LM68;;n. def.;0;0;n. def.;n. def.;0;0;60;
;E01;SYBR;CXCL9;Unkn;LM69;;24,1933117409702;24,1933117409702;0;n. def.;n. def.;n. def.;0;60;
;E02;SYBR;IL-10;Unkn;LM69;;31,5899221312268;31,5899221312268;0;n. def.;n. def.;n. def.;0;60;
;E03;SYBR;IL-12;Unkn;LM69;;34,6099408103387;34,6099408103387;0;n. def.;n. def.;n. def.;0;60;
