;True;Target;Sample;Normalized Expression
;True;CXCL9;MouseCaecum1;0,00026374780616782
;True;CXCL9;MouseCaecum2;0,203435031436106
;True;CXCL9;MouseCaecum3;0,00226009770228734
;True;CXCL9;MouseCaecum4;0,00258335337548293
;True;IFN-g;MouseCaecum1;0,00408336060208461
;True;IFN-g;MouseCaecum2;0,182294534945187
;True;IFN-g;MouseCaecum3;0,15426800323654
;True;IFN-g;MouseCaecum4;0,146555134561019
;True;IL-10;MouseCaecum1;0,000941403421012788
;True;IL-10;MouseCaecum2;0,00226995337328368
;True;IL-10;MouseCaecum3;4,91964537602301E-05
;True;IL-10;MouseCaecum4;7,15991369049341E-05
;True;IL-12;MouseCaecum1;8,47517709669562E-05
;True;IL-12;MouseCaecum2;0,000422772802926318
;True;IL-12;MouseCaecum3;0,000186889559196184
;True;IL-12;MouseCaecum4;9,35650062126695E-05
;True;IL-6;MouseCaecum1;0,00541476455538851
;True;IL-6;MouseCaecum2;0,0137116445399957
;True;IL-6;MouseCaecum3;0,136341417396477
;True;IL-6;MouseCaecum4;0,120515401077408
;True;STAT6;MouseCaecum1;0,00597395843808935
;True;STAT6;MouseCaecum2;0,00955270257648468
;True;STAT6;MouseCaecum3;0,232264442016442
;True;STAT6;MouseCaecum4;0,0549165351718136
;True;TGF-b;MouseCaecum1;0,0547891554474156
;True;TGF-b;MouseCaecum2;0,0576722277401612
;True;TGF-b;MouseCaecum3;0,0547107333886003
;True;TGF-b;MouseCaecum4;0,0140827236075898
