"Locality","Genome","Strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain"
"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,2018-04-20,1,3,"1","2","EX",871,"M","63","1M","5.61",10.03,"L2",NA,"","BUSNA","BUSNA","parental strains",11.4285714285714,1,"E88"
"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,2018-04-20,1,3,"1","2","EX",872,"F","63","1F","5.32",8.92,"L3",NA,"","BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64"
"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,2018-04-20,1,3,"1","2","EX",873,"F","63","1F","5.10",8.63,"L4",NA,"","BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-04-26,7,4,"1+?","2+?","EX",1036,"M","60","1M","6.86",9.81,"P2",NA,"","BUSNA","BUSNA","parental strains",10.5714285714286,1,"E88"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-04-26,7,4,"1+?","2+?","EX",1037,"F","60","1F","7.47",9.79,"P3",NA,"","BUSNA","BUSNA","parental strains",10.5714285714286,1,"E64"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-04-26,7,4,"1+?","2+?","EX",1038,"F","60","1F","6,,08",8.91,"P4",NA,"","BUSNA","BUSNA","parental strains",10.5714285714286,1,"E88"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-05-16,8,5,"1","4","EX",1039,"M","60","1M","5.67",9.21,"P2",NA,"","BUSNA","BUSNA","parental strains",7.71428571428571,2,"E88"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-05-16,8,5,"1","4","EX",1040,"F","60","1F","5.76",9.03,"L3",NA,"","BUSNA","BUSNA","parental strains",7.71428571428571,2,"E64"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-05-16,8,5,"1","4","EX",1041,"F","60","1F","5.51",8.77,"L4",NA,"","BUSNA","BUSNA","parental strains",7.71428571428571,2,"E88"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-05-16,8,5,"1","4","EX",1042,"F","60","1F","5.40",8.49,"L5",NA,"REZERVA","BUSNA","BUSNA","parental strains",7.71428571428571,2,"E88"
"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,2018-05-17,2,5,"4","1","EX",1058,"M","63","1M","5.45",8.47,"L2",NA,"","BUSNA","BUSNA","parental strains",7.57142857142857,2,"E64"
"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,2018-05-17,2,5,"4","1","EX",1059,"M","63","1M","5.62",8.29,"L3",NA,"","BUSNA","BUSNA","parental strains",7.57142857142857,2,"E64"
"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,2018-05-17,2,5,"4","1","EX",1060,"M","63","1M","5.27",8.06,"L4",NA,"","BUSNA","BUSNA","parental strains",7.57142857142857,2,"E88"
"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,2018-05-17,2,5,"4","1","EX",1061,"M","63","1M","5.53",8.64,"L5",NA,"REZERVA","BUSNA","BUSNA","parental strains",7.57142857142857,2,"E64"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-01,3,4,"2","2","EX",752,"M","F1","1M","6.44",12.24,"P2",NA,"","BUSNA","PWD","outbred hybrids",14.1428571428571,1,"E64"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-01,3,4,"2","2","EX",753,"M","F1","1M","6.55",11.17,"P3",NA,"","BUSNA","PWD","outbred hybrids",14.1428571428571,1,"E64"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-01,3,4,"2","2","EX",754,"F","F1","1F","6.60",11.19,"L2",NA,"","BUSNA","PWD","outbred hybrids",14.1428571428571,1,"E88"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-01,3,4,"2","2","EX",755,"F","F1","1F","6.67",11.55,"L3",NA,"","BUSNA","PWD","outbred hybrids",14.1428571428571,2,"E88"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-28,4,4,"2+?","1+?","EX",913,"M","F1","1M","7.21",12.28,"P2",NA,"","BUSNA","PWD","outbred hybrids",10.2857142857143,2,"E64"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-28,4,4,"2+?","1+?","EX",914,"M","F1","1M","715.00",12,"P3",NA,"REZERVA","BUSNA","PWD","outbred hybrids",10.2857142857143,2,"E88"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-28,4,4,"2+?","1+?","EX",915,"F","F1","1F","7.47",12.64,"L2",NA,"","BUSNA","PWD","outbred hybrids",10.2857142857143,2,"E64"
"","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-05-25,5,3,"0","3","EX",1099,"F","F1","1F","7.73",11.07,"P2",NA,"REZERVA","BUSNA","PWD","outbred hybrids",6.42857142857143,2,"E64"
"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,2018-02-23,2,3,"0","3","EX",620,"F","F1","1F","7.55",12.35,"P2",NA,"","BUSNA","STRA","inter subsp. hybrids",19.4285714285714,1,"E64"
"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,2018-02-23,2,3,"0","3","EX",621,"F","F1","1F","7.07",12.2,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",19.4285714285714,1,"E88"
"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,2018-02-23,2,3,"0","3","EX",622,"F","F1","1F","7.76",13.35,"L4",NA,"","BUSNA","STRA","inter subsp. hybrids",19.4285714285714,1,"E88"
"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,2018-04-04,3,1,"1","0","EX",786,"M","F1","1M","7.00",11.22,"L2",NA,"","BUSNA","STRA","inter subsp. hybrids",13.7142857142857,2,"E88"
"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,2018-04-25,4,2,"2","0","EX",901,"M","F1","1M","7.85",12.43,"P2",NA,"","BUSNA","STRA","inter subsp. hybrids",10.7142857142857,2,"E64"
"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,2018-04-25,4,2,"2","0","EX",902,"M","F1","1M","7.80",12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.7142857142857,2,"E64"
"","mus x dom","BUSNA_STRA","SY",8279,62,"STRA","SY",6456,55,2018-05-31,2,5,"4","1","EX",1134,"M","F1","1M","7.00",11.2,"P2",NA,"REZERVA","BUSNA","STRA","inter subsp. hybrids",5.57142857142857,2,"E64"
"","mus x dom","BUSNA_STRA","SY",8279,62,"STRA","SY",6456,55,2018-05-31,2,5,"4","1","EX",1135,"F","F1","1F","7.03",11.61,"L2",NA,"REZERVA","BUSNA","STRA","inter subsp. hybrids",5.57142857142857,2,"E88"
"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-03-23,6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,"","PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64"
"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-03-23,6,9,"4","5","EX",727,"F","F1","1F","4.73",8.44,"P3",NA,"","PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64"
"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-03-23,6,9,"4","5","EX",728,"F","F1","1F","4.31",7.59,"L2",NA,"","PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E88"
"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-05-02,7,6,"5","?","EX",939,"M","F1","1M","5.19",8.79,"L2",NA,"","PWD","BUSNA","outbred hybrids",9.71428571428571,2,"E88"
"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-05-02,7,6,"5","?","EX",940,"M","F1","1M","5.21",8.67,"L3",NA,"","PWD","BUSNA","outbred hybrids",9.71428571428571,2,"E64"
