"PIN","Locality","Genome","Strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","X","NOTE","Exp_ID","prelim_labels","date","EH_ID","original label"
144,"Buskovice","mus","BUSNA","SY",8280,62,"BUSNA","SY",8281,62,"03/26/2018",1,4,0,4,"SX","F",63,"1F",5.11,7.83,"L3","04/20/2018","","was SY144, is SX144","Exp004",18,"07/05/18",NA,"SX F 144 G63 L3"
144,"Buskovice","mus","BUSNA","SY",8280,62,"BUSNA","SY",8281,62,"03/26/2018",1,4,0,4,"SX","F",63,"1F",5.11,7.83,"L3","04/20/2018","","was SY144, is SX144","Exp004",18,"10/05/18",NA,"SX F 144 G63 L3"
145,"Buskovice","mus","BUSNA","SY",8280,62,"BUSNA","SY",8281,62,"03/26/2018",1,4,0,4,"SX","F",63,"1F",5.14,7.63,"L4","04/20/2018","","was SY143, is SX145","Exp004",25,"10/05/18",NA,"SX F 145 G63 L4"
145,"Buskovice","mus","BUSNA","SY",8280,62,"BUSNA","SY",8281,62,"03/26/2018",1,4,0,4,"SX","F",63,"1F",5.14,7.63,"L4","04/20/2018","","was SY143, is SX145","Exp004",25,"07/05/18",NA,"SX F 145 G63 L4"
524,"Straas2","dom","STRA","SY",3007,54,"STRA","SY",3006,54,"29/1/18",4,6,2,4,"EX","M",55,"1M",6.84,11.33,"L2","04/20/2018","","","Exp004",17,"10/05/18",NA,"EX M 524 G55 L2"
524,"Straas2","dom","STRA","SY",3007,54,"STRA","SY",3006,54,"29/1/18",4,6,2,4,"EX","M",55,"1M",6.84,11.33,"L2","04/20/2018","","","Exp004",17,"07/05/18",NA,"EX M 524 G55 L2"
525,"Straas2","dom","STRA","SY",3007,54,"STRA","SY",3006,54,"29/1/18",4,6,2,4,"EX","M",55,"1M",6.88,10.93,"L3","04/20/2018","","","Exp004",7,"10/05/18",NA,"EX M 525 G55 L3"
525,"Straas2","dom","STRA","SY",3007,54,"STRA","SY",3006,54,"29/1/18",4,6,2,4,"EX","M",55,"1M",6.88,10.93,"L3","04/20/2018","","","Exp004",7,"07/05/18",NA,"EX M 525 G55 L3"
526,"Straas2","dom","STRA","SY",3007,54,"STRA","SY",3006,54,"29/1/18",4,6,2,4,"EX","F",55,"1M",7.21,11.33,"P2","04/20/2018","","","Exp004",1,"07/05/18",NA,"EX F 526 G55 P2"
526,"Straas2","dom","STRA","SY",3007,54,"STRA","SY",3006,54,"29/1/18",4,6,2,4,"EX","F",55,"1M",7.21,11.33,"P2","04/20/2018","","","Exp004",1,"10/05/18",NA,"EX F 526 G55 P2"
527,"Straas2","dom","STRA","SY",3007,54,"STRA","SY",3006,54,"29/1/18",4,6,2,4,"EX","F",55,"1F",7.32,11.47,"P3","04/20/2018","","","Exp004",21,"10/05/18",NA,"EX F 527 G55 P3"
527,"Straas2","dom","STRA","SY",3007,54,"STRA","SY",3006,54,"29/1/18",4,6,2,4,"EX","F",55,"1F",7.32,11.47,"P3","04/20/2018","","","Exp004",21,"07/05/18",NA,"EX F 527 G55 P3"
528,"Straas2","dom","STRA","SY",3007,54,"STRA","SY",3006,54,"29/1/18",4,6,2,4,"EX","F",55,"1F",6.87,11.67,"P4","04/20/2018","","","Exp004",22,"10/05/18",NA,"EX F 528 G55 P4"
528,"Straas2","dom","STRA","SY",3007,54,"STRA","SY",3006,54,"29/1/18",4,6,2,4,"EX","F",55,"1F",6.87,11.67,"P4","04/20/2018","","","Exp004",22,"07/05/18",NA,"EX F 528 G55 P4"
529,"Straas2","dom","STRA","SY",3007,54,"STRA","SY",3006,54,"29/1/18",4,6,2,4,"EX","F",55,"1F",6.22,10.85,"P5","04/20/2018","","","Exp004",23,"07/05/18",NA,"EX F 529 G55 P5"
529,"Straas2","dom","STRA","SY",3007,54,"STRA","SY",3006,54,"29/1/18",4,6,2,4,"EX","F",55,"1F",6.22,10.85,"P5","04/20/2018","","","Exp004",23,"10/05/18",NA,"EX F 529 G55 P5"
8476,"Schweben 2","dom","SCHUNT","SY",5901,36,"SCHUNT","SY",5900,36,"02/08/2018",3,9,6,3,"SY","M",37,"1M",5.05,8.39,"P2","04/20/2018","","","Exp004",24,"07/05/18",NA,"SY M 8476 G37 P2"
8476,"Schweben 2","dom","SCHUNT","SY",5901,36,"SCHUNT","SY",5900,36,"02/08/2018",3,9,6,3,"SY","M",37,"1M",5.05,8.39,"P2","04/20/2018","","","Exp004",24,"10/05/18",NA,"SY M 8476 G37 P2"
8477,"Schweben 2","dom","SCHUNT","SY",5901,36,"SCHUNT","SY",5900,36,"02/08/2018",3,9,6,3,"SY","M",37,"1M",5.17,8.62,"P3","04/20/2018","","","Exp004",29,"10/05/18",NA,"SY M 8477 G37 P3"
8477,"Schweben 2","dom","SCHUNT","SY",5901,36,"SCHUNT","SY",5900,36,"02/08/2018",3,9,6,3,"SY","M",37,"1M",5.17,8.62,"P3","04/20/2018","","","Exp004",29,"07/05/18",NA,"SY M 8477 G37 P3"
8478,"Schweben 2","dom","SCHUNT","SY",5901,36,"SCHUNT","SY",5900,36,"02/08/2018",3,9,6,3,"SY","M",37,"1M",5.03,8.2,"P4","04/20/2018","","","Exp004",11,"10/05/18",NA,"SY M 8478 G37 P4"
8478,"Schweben 2","dom","SCHUNT","SY",5901,36,"SCHUNT","SY",5900,36,"02/08/2018",3,9,6,3,"SY","M",37,"1M",5.03,8.2,"P4","04/20/2018","","","Exp004",11,"07/05/18",NA,"SY M 8478 G37 P4"
8479,"Schweben 2","dom","SCHUNT","SY",5901,36,"SCHUNT","SY",5900,36,"02/08/2018",3,9,6,3,"SY","F",37,"1F",5.13,8.31,"P5","04/20/2018","","","Exp004",14,"10/05/18",NA,"SY F 8479 G37 P5"
8479,"Schweben 2","dom","SCHUNT","SY",5901,36,"SCHUNT","SY",5900,36,"02/08/2018",3,9,6,3,"SY","F",37,"1F",5.13,8.31,"P5","04/20/2018","","","Exp004",14,"07/05/18",NA,"SY F 8479 G37 P5"
8480,"Schweben 2","dom","SCHUNT","SY",5901,36,"SCHUNT","SY",5900,36,"02/08/2018",3,9,6,3,"SY","F",37,"1F",5.38,8.46,"L2","04/20/2018","","","Exp004",20,"07/05/18",NA,"SY F 8480 G37 L2"
8480,"Schweben 2","dom","SCHUNT","SY",5901,36,"SCHUNT","SY",5900,36,"02/08/2018",3,9,6,3,"SY","F",37,"1F",5.38,8.46,"L2","04/20/2018","","","Exp004",20,"10/05/18",NA,"SY F 8480 G37 L2"
8481,"Schweben 2","dom","SCHUNT","SY",5901,36,"SCHUNT","SY",5900,36,"02/08/2018",3,9,6,3,"SY","F",37,"1F",5.32,8.65,"L3","04/20/2018","","","Exp004",6,"07/05/18",NA,"SY F 8481 G37 L3"
8481,"Schweben 2","dom","SCHUNT","SY",5901,36,"SCHUNT","SY",5900,36,"02/08/2018",3,9,6,3,"SY","F",37,"1F",5.32,8.65,"L3","04/20/2018","","","Exp004",6,"10/05/18",NA,"SY F 8481 G37 L3"
8482,"Schweben 2","dom","SCHUNT","SY",6901,37,"SCHUNT","SY",6900,37,"02/08/2018",1,5,3,2,"SY","M",38,"1M",6.37,9.26,"L2","04/20/2018","","","Exp004",31,"07/05/18",NA,"SY M 8482 G38 L2"
8482,"Schweben 2","dom","SCHUNT","SY",6901,37,"SCHUNT","SY",6900,37,"02/08/2018",1,5,3,2,"SY","M",38,"1M",6.37,9.26,"L2","04/20/2018","","","Exp004",31,"10/05/18",NA,"SY M 8482 G38 L2"
8483,"Schweben 2","dom","SCHUNT","SY",6901,37,"SCHUNT","SY",6900,37,"02/08/2018",1,5,3,2,"SY","M",38,"1M",6.45,9.59,"L3","04/20/2018","","","Exp004",16,"10/05/18",NA,"SY M 8483 G38 L3"
8483,"Schweben 2","dom","SCHUNT","SY",6901,37,"SCHUNT","SY",6900,37,"02/08/2018",1,5,3,2,"SY","M",38,"1M",6.45,9.59,"L3","04/20/2018","","","Exp004",16,"07/05/18",NA,"SY M 8483 G38 L3"
8486,"Schweben 2","dom","SCHUNT","SY",6901,37,"SCHUNT","SY",6900,37,"02/08/2018",1,5,3,2,"SY","F",38,"1F",6.2,8.77,"P5","04/20/2018","","","Exp004",9,"10/05/18",NA,"SY F 8486 G38 P5"
8486,"Schweben 2","dom","SCHUNT","SY",6901,37,"SCHUNT","SY",6900,37,"02/08/2018",1,5,3,2,"SY","F",38,"1F",6.2,8.77,"P5","04/20/2018","","","Exp004",9,"07/05/18",NA,"SY F 8486 G38 P5"
8487,"Prague","mus","PWD","SY",4994,41,"PWD","SY",4990,41,"02/08/2018",4,5,2,0,"SY","M",42,"1M",3.31,5.12,"L2","04/20/2018","","","Exp004",12,"10/05/18",NA,"SY M 8487 G42 L2"
8487,"Prague","mus","PWD","SY",4994,41,"PWD","SY",4990,41,"02/08/2018",4,5,2,0,"SY","M",42,"1M",3.31,5.12,"L2","04/20/2018","","","Exp004",12,"07/05/18",NA,"SY M 8487 G42 L2"
