Species,Mouse_strain,K_ID,date_of_birth,N passaging before,sex
Cryptosporidium spp.,NMRI,K7,20_08_18,0,M
Cryptosporidium spp.,NMRI,K7,20_08_18,0,M
Cryptosporidium spp.,NMRI,K7,20_08_18,0,M
Cryptosporidium spp.,NMRI,K7,20_08_18,0,M
Cryptosporidium spp.,NMRI,K5,16_08_18,0,M
Cryptosporidium spp.,NMRI,K5,16_08_18,0,M
Cryptosporidium spp.,NMRI,K5,16_08_18,0,M
Cryptosporidium spp.,NMRI,K5,16_08_18,0,M
Cryptosporidium spp.,NMRI,K6,17_08_18,0,M
Cryptosporidium spp.,NMRI,K6,17_08_18,0,M
Cryptosporidium spp.,NMRI,K6,17_08_18,0,M
Cryptosporidium spp.,NMRI,K6,17_08_18,0,M
Cryptosporidium spp.,NMRI,K3,12_08_18,0,M
Cryptosporidium spp.,NMRI,K3,12_08_18,0,M
Cryptosporidium spp.,NMRI,K3,12_08_18,0,M
Cryptosporidium spp.,NMRI,K3,12_08_18,0,M
