OD,label
40.1666666666667,GHI
13.8333333333333,PSV
31.1666666666667,LYZ
54.1666666666667,BLW
63.1666666666667,JQU
25.1666666666667,HVW
64,MOR
40,APS
50.8333333333333,CIW
7.33333333333333,FRU
18.5,DTU
26.5,AJN
6.83333333333333,CEK
45.1666666666667,BGY
63.6666666666667,MNW
32.5,NUX
80.5,NPY
70.5,AVW
88.6666666666667,NOY
13.3333333333333,HKX
74.5,NSX
78,PVX
35.3333333333333,CLV
49.3333333333333,KOX
165.666666666667,NRU
78.6666666666667,AQY
57.1666666666667,AHU
56,JRZ
79.3333333333333,AUZ
258.833333333333,CEO
44.6666666666667,KMS
78.1666666666667,GHL
50,GOW
85.3333333333333,UVY
454.5,LMZ
165.666666666667,JKX
47.8333333333333,LNW
236.333333333333,HKN
72,GJT
651.5,AGX
