Conc,OD
500,3129
500,3424
500,3095
500,3416
500,3108
500,3412
250,2173
250,1920
250,2162
250,1947
250,2168
250,1968
125,1109
125,1053
125,1096
125,1064
125,1100
125,1075
62.5,595
62.5,585
62.5,583
62.5,587
62.5,582
62.5,590
31.25,268
31.25,295
31.25,268
31.25,294
31.25,272
31.25,296
15.625,145
15.625,118
15.625,143
15.625,119
15.625,144
15.625,121
7.8125,64
7.8125,64
7.8125,65
7.8125,62
7.8125,65
7.8125,61
0,1
0,-1
0,1
0,-1
0,1
0,-1
