"","IFNy"
"E7GHI",4.45462750530078
"E7PSV",1.62435853414336
"E7LYZ",3.47981538698723
"E7BLW",5.98219397547729
"E7JQU",6.97024477714995
"E7HVW",2.83376840524125
"E7MOR",7.0619457854202
"E7APS",0
"E7CIW",5.61738807203253
"E7FRU",0.939915392134487
"E7DTU",2.12034089731856
"E7AJN",2.97703725107771
"E7CEK",0.887669072138454
"E7BGY",0
"E7MNW",7.02526117343341
"E7NUX",3.62382335353016
"E7NPY",8.88444562539488
"E7AVW",7.77838821324282
"E7NOY",9.79093082430209
"E7HKX",1.57141709186385
"E7NSX",8.22027140098512
"E7PVX",8.60751395976393
"E7CLV",0
"E7KOX",5.45343908205199
"E7NRU",18.4540538108344
"E7AQY",8.68133585129729
"E7AHU",6.31105921837141
"E7JRZ",6.18310779757597
"E7AUZ",8.75517711765294
"E7CEO",0
"E7KMS",4.94426504920241
"E7GHL",8.62596761018824
"E7GOW",5.52628859453141
"E7UVY",9.42060284583271
"E7LMZ",52.2741183942562
"E7JKX",18.4540538108344
"E7LNW",5.28962689128332
"E7HKN",0
"E7GJT",0
"E7AGX",76.3038260324638
