labels,EH_ID,dpi,weight,weight_dpi0,weightloss,fecweight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG,Spleen,Thymus,Caecum,Mesentery,Leukocytes,Eosinophils,Neutrophils
INO,LM0227,0,,,0,,,,,,,,,,,,,,,
EJN,LM0228,0,,,0,,,,,,,,,,,,,,,
BOY,LM0231,0,,,0,,,,,,,,,,,,,,,
JPX,LM0234,0,,,0,,,,,,,,,,,,,,,
FJS,LM0235,0,,,0,,,,,,,,,,,,,,,
AGN,LM0236,0,,,0,,,,,,,,,,,,,,,
ILM,LM0238,0,,,0,,,,,,,,,,,,,,,
HKW,LM0240,0,,,0,,,,,,,,,,,,,,,
AFY,LM0248,0,,,0,,,,,,,,,,,,,,,
ASZ,LM0249,0,,,0,,,,,,,,,,,,,,,
DPW,LM0255,0,,,0,,,,,,,,,,,,,,,
CJP,LM0257,0,,,0,,,,,,,,,,,,,,,
HJU,LM0258,0,,,0,,,,,,,,,,,,,,,
ALR,LM0259,0,,,0,,,,,,,,,,,,,,,
CKT,LM0260,0,,,0,,,,,,,,,,,,,,,
HQZ,LM0262,0,,,0,,,,,,,,,,,,,,,
LNO,LM0263,0,,,0,,,,,,,,,,,,,,,
DKM,LM0265,0,,,0,,,,,,,,,,,,,,,
BIW,LM0269,0,,,0,,,,,,,,,,,,,,,
GQU,LM0270,0,,,0,,,,,,,,,,,,,,,
BNQ,LM0279,0,,,0,,,,,,,,,,,,,,,
IMP,LM0280,0,,,0,,,,,,,,,,,,,,,
LOR,LM0284,0,,,0,,,,,,,,,,,,,,,
CRV,LM0285,0,,,0,,,,,,,,,,,,,,,
HKV,LM0287,0,,,0,,,,,,,,,,,,,,,
GIR,LM0291,0,,,0,,,,,,,,,,,,,,,
CHL,LM0294,0,,,0,,,,,,,,,,,,,,,
DEK,LM0295,0,,,0,,,,,,,,,,,,,,,
DKR,LM0229,0,,,0,,,,,,,,,,,,,,,
DIW,LM0232,0,,,0,,,,,,,,,,,,,,,
DUZ,LM0233,0,,,0,,,,,,,,,,,,,,,
EIQ,LM0239,0,,,0,,,,,,,,,,,,,,,
BVZ,LM0247,0,,,0,,,,,,,,,,,,,,,
GSZ,LM0251,0,,,0,,,,,,,,,,,,,,,
BCP,LM0254,0,,,0,,,,,,,,,,,,,,,
IJY,LM0256,0,,,0,,,,,,,,,,,,,,,
DLN,LM0261,0,,,0,,,,,,,,,,,,,,,
ELV,LM0264,0,,,0,,,,,,,,,,,,,,,
DJP,LM0266,0,,,0,,,,,,,,,,,,,,,
KWX,LM0268,0,,,0,,,,,,,,,,,,,,,
CKO,LM0271,0,,,0,,,,,,,,,,,,,,,
AOT,LM0272,0,,,0,,,,,,,,,,,,,,,
AHV,LM0273,0,,,0,,,,,,,,,,,,,,,
IJP,LM0275,0,,,0,,,,,,,,,,,,,,,
PQT,LM0276,0,,,0,,,,,,,,,,,,,,,
ELQ,LM0277,0,,,0,,,,,,,,,,,,,,,
ILR,LM0278,0,,,0,,,,,,,,,,,,,,,
RWZ,LM0282,0,,,0,,,,,,,,,,,,,,,
JMO,LM0283,0,,,0,,,,,,,,,,,,,,,
