;True;Target;Sample;Normalized Expression
;True;CXCL9;MouseCaecum1;0,0584381616031348
;True;CXCL9;MouseCaecum2;0,0341405473448728
;True;CXCL9;MouseCaecum3;0,0364892351972917
;True;CXCL9;MouseCaecum4;0,227125203250896
;True;IFN-g;MouseCaecum1;0,00185894422024103
;True;IFN-g;MouseCaecum2;0,00124097527804695
;True;IFN-g;MouseCaecum3;0,0174964808562682
;True;IFN-g;MouseCaecum4;0,0591395156427586
;True;IL-10;MouseCaecum1;0,000751998654187089
;True;IL-10;MouseCaecum2;0,000166805282333371
;True;IL-10;MouseCaecum3;0,000448409193887889
;True;IL-10;MouseCaecum4;0,00100807368446852
;True;IL-12;MouseCaecum1;0,00432144627016819
;True;IL-12;MouseCaecum2;1,34039063493839E-05
;True;IL-12;MouseCaecum3;0,00124960100183223
;True;IL-12;MouseCaecum4;0,000796475795858935
;True;IL-6;MouseCaecum1;0,00885275674886783
;True;IL-6;MouseCaecum2;0,00944298021839422
;True;IL-6;MouseCaecum3;0,179972310813835
;True;IL-6;MouseCaecum4;0,0134879934203898
;True;STAT6;MouseCaecum1;0,0300862354928181
;True;STAT6;MouseCaecum2;0,0119221198330023
;True;STAT6;MouseCaecum3;0,0275111136222801
;True;STAT6;MouseCaecum4;0,0156889439807296
;True;TGF-b;MouseCaecum1;0,0141150502677854
;True;TGF-b;MouseCaecum2;0,00430686645069578
;True;TGF-b;MouseCaecum3;0,0350161836235937
;True;TGF-b;MouseCaecum4;0,0323127459693911
