EH_ID;Target;Observer;Date;Caecum
LM_0231;CXCR3;Luke;;neg
LM_0287;CXCR3;;;pos
LM_0285;CXCR3;;;pos
LM_0269;CXCR3;;;pos
LM_0265;CXCR3;;;pos
LM_0293;CXCR3;;;pos
LM_0263;CXCR3;;;pos
LM_0282;CXCR3;;;pos
LM_0231;IRG6;;;neg
LM_0287;IRG6;;;neg
LM_0285;IRG6;;;neg
LM_0269;IRG6;;;neg
LM_0265;IRG6;;;neg
LM_0293;IRG6;;;neg
LM_0263;IRG6;;;neg
LM_0282;IRG6;;;neg
LM_0231;IL-12;;;neg
LM_0287;IL-12;;;neg
LM_0285;IL-12;;;pos
LM_0269;IL-12;;;pos
LM_0265;IL-12;;;pos
LM_0293;IL-12;;;pos
LM_0263;IL-12;;;pos
LM_0282;IL-12;;;pos
LM_0231;GAPDH;;;neg
LM_0287;GAPDH;;;neg
LM_0285;GAPDH;;;neg
LM_0269;GAPDH;;;neg
LM_0265;GAPDH;;;pos
LM_0293;GAPDH;;;pos
LM_0263;GAPDH;;;pos
LM_0282;GAPDH;;;pos
LM_0231;B-actin;;;neg
LM_0287;B-actin;;;neg
LM_0285;B-actin;;;pos
LM_0269;B-actin;;;pos
LM_0265;B-actin;;;pos
LM_0293;B-actin;;;neg
LM_0263;B-actin;;;pos
LM_0282;B-actin;;;pos
LM_0278;CXCR3;;;pos
LM_0289;CXCR3;;;pos
LM_0252;CXCR3;;;pos
LM_0288;CXCR3;;;pos
LM_0273;CXCR3;;;pos
LM_0271;CXCR3;;;pos
LM_0264;CXCR3;;;pos
LM_0261;CXCR3;;;pos
LM_0278;IRG6;;;pos
LM_0289;IRG6;;;pos
LM_0252;IRG6;;;pos
LM_0288;IRG6;;;pos
LM_0273;IRG6;;;pos
LM_0271;IRG6;;;pos
LM_0264;IRG6;;;pos
LM_0261;IRG6;;;pos
LM_0278;IL-12;;;pos
LM_0289;IL-12;;;pos
LM_0252;IL-12;;;pos
LM_0288;IL-12;;;pos
LM_0273;IL-12;;;pos
LM_0271;IL-12;;;pos
LM_0264;IL-12;;;pos
LM_0261;IL-12;;;pos
LM_0278;GAPDH;;;pos
LM_0289;GAPDH;;;pos
LM_0252;GAPDH;;;pos
LM_0288;GAPDH;;;pos
LM_0273;GAPDH;;;pos
LM_0271;GAPDH;;;pos
LM_0264;GAPDH;;;pos
LM_0261;GAPDH;;;pos
LM_0278;B-actin;;;pos
LM_0289;B-actin;;;pos
LM_0252;B-actin;;;pos
LM_0288;B-actin;;;pos
LM_0273;B-actin;;;pos
LM_0271;B-actin;;;pos
LM_0264;B-actin;;;pos
LM_0261;B-actin;;;pos
LM_0259;CXCR3;;;pos
LM_0286;CXCR3;;;pos
LM_0276;CXCR3;;;pos
LM_0277;CXCR3;;;pos
LM_0272;CXCR3;;;pos
LM_0283;CXCR3;;;pos
LM_0294;CXCR3;;;pos
LM_0275;CXCR3;;;pos
LM_0259;IRG6;;;pos
LM_0286;IRG6;;;pos
LM_0276;IRG6;;;pos
LM_0277;IRG6;;;pos
LM_0272;IRG6;;;pos
LM_0283;IRG6;;;pos
LM_0294;IRG6;;;pos
LM_0275;IRG6;;;pos
LM_0259;IL-12;;;pos
LM_0286;IL-12;;;pos
LM_0276;IL-12;;;pos
LM_0277;IL-12;;;pos
LM_0272;IL-12;;;pos
LM_0283;IL-12;;;pos
LM_0294;IL-12;;;pos
LM_0275;IL-12;;;pos
LM_0259;GAPDH;;;pos
LM_0286;GAPDH;;;pos
LM_0276;GAPDH;;;pos
LM_0277;GAPDH;;;pos
LM_0272;GAPDH;;;pos
LM_0283;GAPDH;;;pos
LM_0294;GAPDH;;;pos
LM_0275;GAPDH;;;pos
LM_0259;B-actin;;;pos
LM_0286;B-actin;;;pos
LM_0276;B-actin;;;pos
LM_0277;B-actin;;;pos
LM_0272;B-actin;;;pos
LM_0283;B-actin;;;pos
LM_0294;B-actin;;;pos
LM_0275;B-actin;;;pos
LM_0232;CXCR3;;;pos
LM_0255;CXCR3;;;pos
LM_0247;CXCR3;;;pos
LM_0257;CXCR3;;;pos
LM_0268;CXCR3;;;neg
LM_0260;CXCR3;;;pos
LM_0280;CXCR3;;;pos
LM_0262;CXCR3;;;pos
LM_0232;IRG6;;;pos
LM_0255;IRG6;;;pos
LM_0247;IRG6;;;pos
LM_0257;IRG6;;;pos
LM_0268;IRG6;;;pos
LM_0260;IRG6;;;pos
LM_0280;IRG6;;;pos
LM_0262;IRG6;;;pos
LM_0232;IL-12;;;pos
LM_0255;IL-12;;;pos
LM_0247;IL-12;;;pos
LM_0257;IL-12;;;pos
LM_0268;IL-12;;;pos
LM_0260;IL-12;;;pos
LM_0280;IL-12;;;pos
LM_0262;IL-12;;;pos
LM_0232;GAPDH;;;pos
LM_0255;GAPDH;;;pos
LM_0247;GAPDH;;;pos
LM_0257;GAPDH;;;pos
LM_0268;GAPDH;;;pos
LM_0260;GAPDH;;;pos
LM_0280;GAPDH;;;pos
LM_0262;GAPDH;;;pos
LM_0232;B-actin;;;pos
LM_0255;B-actin;;;pos
LM_0247;B-actin;;;pos
LM_0257;B-actin;;;pos
LM_0268;B-actin;;;pos
LM_0260;B-actin;;;pos
LM_0280;B-actin;;;pos
LM_0262;B-actin;;;pos
LM_0270;CXCR3;;;pos
LM_0279;CXCR3;;;pos
LM_0240;CXCR3;;;pos
LM_0284;CXCR3;;;pos
LM_0233;CXCR3;;;pos
LM_0258;CXCR3;;;pos
LM_0256;CXCR3;;;pos
LM_0227;CXCR3;;;pos
LM_0270;IRG6;;;pos
LM_0279;IRG6;;;pos
LM_0240;IRG6;;;pos
LM_0284;IRG6;;;pos
LM_0233;IRG6;;;neg
LM_0258;IRG6;;;pos
LM_0256;IRG6;;;pos
LM_0227;IRG6;;;pos
LM_0270;IL-12;;;pos
LM_0279;IL-12;;;pos
LM_0240;IL-12;;;pos
LM_0284;IL-12;;;pos
LM_0233;IL-12;;;pos
LM_0258;IL-12;;;pos
LM_0256;IL-12;;;pos
LM_0227;IL-12;;;pos
LM_0270;GAPDH;;;pos
LM_0279;GAPDH;;;pos
LM_0240;GAPDH;;;pos
LM_0284;GAPDH;;;pos
LM_0233;GAPDH;;;pos
LM_0258;GAPDH;;;pos
LM_0256;GAPDH;;;pos
LM_0227;GAPDH;;;pos
LM_0270;B-actin;;;pos
LM_0279;B-actin;;;pos
LM_0240;B-actin;;;pos
LM_0284;B-actin;;;pos
LM_0233;B-actin;;;pos
LM_0258;B-actin;;;pos
LM_0256;B-actin;;;pos
LM_0227;B-actin;;;pos
LM-0231;CXCR3;;;pos
LM_0266;CXCR3;;;pos
LM_0229;CXCR3;;;pos
LM_0235;CXCR3;;;pos
LM_0228;CXCR3;;;pos
LM_0251;CXCR3;;;pos
LM_0238;CXCR3;;;pos
LM_0249;CXCR3;;;pos
LM-0231;IRG6;;;pos
LM_0266;IRG6;;;pos
LM_0229;IRG6;;;pos
LM_0235;IRG6;;;pos
LM_0228;IRG6;;;pos
LM_0251;IRG6;;;pos
LM_0238;IRG6;;;pos
LM_0249;IRG6;;;pos
LM-0231;IL-12;;;pos
LM_0266;IL-12;;;pos
LM_0229;IL-12;;;pos
LM_0235;IL-12;;;pos
LM_0228;IL-12;;;pos
LM_0251;IL-12;;;pos
LM_0238;IL-12;;;pos
LM_0249;IL-12;;;pos
LM-0231;GAPDH;;;pos
LM_0266;GAPDH;;;pos
LM_0229;GAPDH;;;pos
LM_0235;GAPDH;;;pos
LM_0228;GAPDH;;;pos
LM_0251;GAPDH;;;pos
LM_0238;GAPDH;;;pos
LM_0249;GAPDH;;;pos
LM-0231;B-actin;;;pos
LM_0266;B-actin;;;pos
LM_0229;B-actin;;;pos
LM_0235;B-actin;;;pos
LM_0228;B-actin;;;pos
LM_0251;B-actin;;;pos
LM_0238;B-actin;;;pos
LM_0249;B-actin;;;pos
