mouse_no.,Infection_date,mouse_weight[g]_dpi0,mouse_weight[g]_dpi1,mouse_weight[g]_dpi2,mouse_weight[g]_dpi3,mouse_weight[g]_dpi4,mouse_weight[g]_dpi5,mouse_weight[g]_dpi6,mouse_weight[g]_dpi7,mouse_weight[g]_dpi8,mouse_weight[g]_dpi9,mouse_weight[g]_dpi10,mouse_weight[g]_dpi11
LM0113,8_May_17,NA,19.34,18.04,19.14,18.11,16.35,17.18,16.9,18.37,17.77,17.33,18.57
LM0111,8_May_17,NA,19.27,19.03,19.01,19.87,19.65,19.41,18.93,18.33,17.59,NA,NA
LM0101,8_May_17,NA,16.66,16.45,16.45,17.65,17.38,17.27,15.88,16.6,16.17,16.52,17.38
LM0117,8_May_17,NA,17.49,16.77,17.01,17.76,17.03,17.4,16.75,17.43,17.54,17.35,17.4
LM0097,8_May_17,NA,17.61,16.94,17.17,17.37,17.05,16.34,16.32,17.5,16.85,17.46,17.45
LM0102,8_May_17,NA,13.5,13.01,12.95,13.94,13.54,13.85,13.26,13.9,13.75,14.02,13.31
LM0108,11_May_17,17.62,17.97,18.24,18.43,17.49,18.08,17.41,17.35,16.99,16.88,15.61,NA
LM0096,11_May_17,17.45,17.74,17.3,17.28,16.7,17.25,16.5,16.49,14.52,13.49,NA,NA
LM0106,11_May_17,17.65,17.65,17.63,16.9,16.46,16.65,15.79,15.78,14.22,12.95,NA,NA
LM0103,11_May_17,17.41,17.66,17.82,17.58,16.74,17.27,16.75,16.58,14.28,NA,NA,NA
LM0112,11_May_17,14.5,14.16,14.71,13.81,13.18,13.07,12.82,13.34,14.32,15.06,14.65,14.58
LM0118,11_May_17,18.63,18.35,18.8,18.82,17.72,17.25,17.43,17.67,18.45,18.57,18.56,17.75
LM0105,11_May_17,16.7,15.95,16.28,16.2,15.56,14.9,14.96,15.32,16.2,16.68,16.19,16.45
LM0110,11_May_17,19.56,20.43,19.89,19.88,18.22,18.42,18.34,18.22,16.87,15.12,NA,NA
LM0098,11_May_17,18.62,17.81,18.42,18.19,17.45,18.27,17.13,17.23,15.69,14.96,14.32,NA
LM0114,11_May_17,18.58,19.08,18.56,16.72,17.24,17.78,17.17,16.71,15.25,13.16,NA,NA
LM0116,11_May_17,16.57,16.85,16.77,16.55,16.04,16.09,15.61,15.46,14.17,12.62,NA,NA
LM0119,11_May_17,18.23,18.52,18.82,18.62,17.45,17.84,17.81,18.75,19.18,19.21,18.45,17.9
LM0100,11_May_17,16.7,16.55,17.08,16.3,14.75,15.33,13.84,NA,NA,NA,NA,NA
LM0121,11_May_17,15.65,16.24,15.98,16.13,15.03,15.03,15.34,14.9,13.63,12.21,NA,NA
LM0120,11_May_17,19.12,19.62,19.92,19.32,18.66,19.05,18.49,18.77,17.31,16.08,14.29,NA
LM0109,11_May_17,19.33,19.42,19.52,19.61,18.64,18.3,18.11,18.63,20.21,19.71,19.62,18.5
LM0115,11_May_17,15.74,15.8,15.64,15.55,15.06,13.88,14.19,14.65,15.33,15.47,15.71,15.02
LM0099,11_May_17,14.8,14.71,15.55,15,14.23,14.16,14.55,14.22,15.14,15.59,15.85,14.62
LM0107,11_May_17,18.2,18.25,18.81,17.98,16.41,14.84,15.65,16.08,17.63,13.97,NA,NA
