"Mouse_ID","weight","weightloss","fecweight","dpi","infection_isolate","sex","Neubauer1","Neubauer2","Neubauer3","Neubauer4","mean","dilution_ml","oocysts_number","OPG"
15,41.3,0.721153846153855,3.64,2,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
16,35.4,2.20994475138123,1.73,2,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
17,34.7,-0.289017341040476,2.07,2,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
18,33.4,0,2.09,2,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
19,39.4,2.23325062034739,2.34,2,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
20,44.3,0.225225225225223,2.66,2,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
21,32,3.61445783132531,2.11,2,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
22,34.3,2.5568181818182,1.55,2,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
23,34.8,1.9718309859155,2.19,2,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
1,33.5,-3.71517027863777,2.96,3,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
2,38,-2.7027027027027,2.85,3,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
3,41.1,3.52112676056338,3.67,3,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
4,40.4,0.980392156862742,2.94,3,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
5,41.5,-0.241545893719808,3.05,3,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
6,37.8,0,4.12,3,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
7,40.1,1.47420147420148,3.26,3,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
8,42.6,0,2.58,3,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
9,40.5,0.491400491400495,2.71,3,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
10,30.4,0,2.82,3,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
11,31.8,6.47058823529412,2.18,3,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
12,27.8,0,2.29,3,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
13,37.5,2.34375,3.94,3,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
15,41.4,0.48076923076924,3.86,3,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
16,35,3.31491712707183,2.13,3,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
17,34.4,0.57803468208093,2.11,3,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
18,33.9,-1.49700598802396,2,3,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
19,39.4,2.23325062034739,3.82,3,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
20,43.3,2.47747747747749,2.52,3,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
21,31.6,4.81927710843374,2.49,3,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
22,33.1,5.96590909090909,2.46,3,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
23,34.8,1.9718309859155,2.27,3,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
1,32.8,-1.54798761609907,3.36,4,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
2,38.9,-5.13513513513513,3.56,4,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
3,40.8,4.22535211267606,3.72,4,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
4,39.8,2.45098039215687,2.82,4,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
5,41,0.96618357487922,3.29,4,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
6,37.5,0.793650793650791,4.13,4,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
7,40.1,1.47420147420148,3.43,4,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
8,42.1,1.17370892018779,3.59,4,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
9,40.5,0.491400491400495,3.2,4,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
10,29.8,1.97368421052631,3.65,4,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
11,32,5.88235294117647,3.24,4,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
12,27.3,1.79856115107914,3.05,4,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
13,37.3,2.86458333333334,2.85,4,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
15,41.4,0.48076923076924,3.11,4,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
