mouse-ID,sex,strain,dpi.0.weight,dpi.0.weightloss,dpi.0.fecweight,dpi.1.weight,dpi.1.weightloss,dpi.1.fecweight,dpi.2.weight,dpi.2.weightloss,dpi.2.fecweight,dpi.3.weight,dpi.3.weightloss,dpi.3.fecweight,dpi.4.weight,dpi.4.weightloss,dpi.4.fecweight,dpi.5.weight,dpi.5.weightloss,dpi.5.fecweight,dpi.6.weight,dpi.6.weightloss,dpi.6.fecweight,dpi.7.weight,dpi.7.weightloss,dpi.7.fecweight,dpi.8.weight,dpi.8.weightloss,dpi.8.fecweight,dpi.9.weight,dpi.9.weightloss,dpi.9.fecweight,dpi.10.weight,dpi.10.weightloss,dpi.10.fecweight,dpi.11.weight,dpi.11.weightloss,dpi.11.fecweight
1,female,Eflab,32.3,0,0,33.5,0,2.26,33.8,0,1.66,33.5,0,2.96,32.8,0,3.36,32.9,,2.63,32.5,,2.12,32.1,,2.20,30.7,,1.64,29.4,,1.38,29.9,,1.77,30.4,,
2,female,Eflab,37.0,0,0,36.8,0.54,1.32,36.9,0.27,2.36,38.0,0,2.85,38.9,0,3.56,38.2,,3.45,38.3,,2.55,37.8,,2.59,37.3,,4.53,38.3,,4.75,37.7,,4.31,38.2,,
3,male,Eflab,42.6,0,0,42.2,0.94,1.80,41.2,3.33,2.69,41.1,3.5,3.67,40.8,4.34,3.72,41.5,,3.35,43.6,,3.45,43.2,,4.60,42.1,,3.86,41.3,,4.35,40.9,,5.41,41.7,,
4,male,Eflab,40.8,0,0,41.3,0,1.67,39.9,2.22,1.82,40.4,0.98,2.94,39.8,2.45,2.82,39.8,,2.08,40.5,,3.61,39.5,,3.12,39.0,,2.65,39.0,,4.88,39.4,,5.83,38.8,,
5,male,Eflab,41.4,0,0,42.0,0,3.10,40.9,1.2,2.93,41.5,0,3.05,41.0,0.96,3.29,41.2,,4.85,41.4,,4.07,41.1,,2.71,40.0,,2.45,40.1,,4.25,39.8,,4.23,40.9,,
6,male,Eflab,37.8,0,0,38.3,0,2.42,38.4,0,2.61,37.8,0,4.12,37.5,0.8,4.13,38.2,,3.64,37.7,,3.08,37.1,,2.75,37.2,,2.74,36.2,,4.07,37.3,,6.69,37.8,,
7,male,E 64,40.7,0,0,40.4,0.74,1.92,39.9,2.0,3.53,40.1,1.49,3.26,40.1,1.49,3.43,38.9,,2.43,39.1,,2.42,39.5,,4.15,39.6,,4.23,39.0,,3.54,40.2,,4.70,39.5,,
8,male,E 64,42.6,0,0,42.6,0,1.78,42.6,0,2.85,42.6,0,2.58,42.1,1.17,3.59,41.8,,4.65,42.1,,4.00,42.9,,4.80,43.0,,4.60,43.8,,4.65,43.0,,5.26,43.0,,
9,male,E 64,40.7,0,0,40.9,0,2.21,40.7,0,2.63,40.5,0.49,2.71,40.5,0.49,3.20,40.3,,3.60,40.6,,3.18,40.3,,2.10,40.4,,2.89,40.6,,3.06,39.8,,2.35,39.7,,
10,female,E 64,30.4,0,0,30.8,0,1.13,30.2,0.65,1.19,30.4,0,2.82,29.8,2.0,3.65,30.5,,2.74,31.0,,3.67,32.1,,3.91,31.8,,4.31,31.5,,2.84,32.2,,2.75,31.8,,
11,female,E 64,34.0,0,0,33.6,1.17,1.96,32.2,5.55,1.62,31.8,6.66,2.18,32.0,5.88,3.24,31.5,,2.85,32.1,,2.21,32.2,,2.85,32.7,,3.94,33.0,,2.98,31.3,,3.84,30.9,,
12,female,E 64,27.8,0,0,28.2,0,1.3,27.8,0,2.44,27.8,0,2.29,27.3,1.79,3.05,28.1,,2.69,29.1,,3.04,29.1,,2.90,28.3,,3.21,28.4,,2.81,28.6,,2.86,29.1,,
13,male,E 88,38.4,0,0,38.0,1.04,1.63,38.0,1.04,1.36,37.5,2.38,3.94,37.3,2.94,2.85,37.2,,4.58,37.8,,3.48,37.2,,2.85,36.8,,3.46,37.6,,3.50,38.0,,3.65,37.6,,
14,male,E 88,42.8,0,0,40.5,5.55,2.55,39.4,8.0,2.67,38.7,10.0,2.35,38.2,11.11,2.78,37.8,,2.74,38.9,,2.83,38.4,,2.74,38.5,,2.97,38.6,,3.41,38.9,,3.45,38.9,,
15,male,E 88,41.6,0,0,41.3,0.72,2.04,41.3,0.72,3.64,41.4,1.36,3.86,41.4,0.48,3.11,40.5,,3.22,41.1,,2.72,40.8,,3.50,41.0,,2.55,40.9,,2.45,40.5,,3.22,40.2,,
16,female,E 88,36.2,0,0,36.0,0.55,0.86,35.4,2.22,1.73,35.0,3.33,2.13,36.1,0.27,2.80,35.8,,2.67,36.4,,1.96,36.5,,3.58,35.9,,4.26,36.2,,2.17,36.6,,4.0,36.4,,
17,female,E 88,34.6,0,0,34.4,0.57,1.04,34.7,0,2.07,34.4,0.57,2.11,34.6,0,2.96,33.6,,2.55,34.7,,1.75,34.1,,2.59,34.9,,3.31,35.3,,3.98,35.4,,4.72,35.9,,
