;True;Target;Sample;Normalized Expression
;True;CXCL9;MouseCaecum1;0,00131870488102317
;True;CXCL9;MouseCaecum2;0,038053921198054
;True;CXCL9;MouseCaecum3;0,0383670913374775
;True;CXCL9;MouseCaecum4;0,00316766535078549
;True;IFN-g;MouseCaecum1;0,00566066484878916
;True;IFN-g;MouseCaecum2;0,000378225881925918
;True;IFN-g;MouseCaecum3;0,00858475053083011
;True;IFN-g;MouseCaecum4;0,000601339225392155
;True;IL-10;MouseCaecum1;6,63499356767121E-06
;True;IL-10;MouseCaecum2;0,000327205457221037
;True;IL-10;MouseCaecum3;0,000447783236635269
;True;IL-10;MouseCaecum4;3,40146169995816E-05
;True;IL-12;MouseCaecum1;0,000471769818507641
;True;IL-12;MouseCaecum2;0,000379961181790636
;True;IL-12;MouseCaecum3;0,00017874649096927
;True;IL-12;MouseCaecum4;0,000409838100271935
;True;IL-6;MouseCaecum1;0,0159041858502161
;True;IL-6;MouseCaecum2;0,00302949924378578
;True;IL-6;MouseCaecum3;0,0036474452674268
;True;IL-6;MouseCaecum4;0,0112699590320709
;True;STAT6;MouseCaecum1;0,195018912414033
;True;STAT6;MouseCaecum2;0,00368448061427386
;True;STAT6;MouseCaecum3;0,0120328190545366
;True;STAT6;MouseCaecum4;0,0648527612227595
;True;TGF-b;MouseCaecum1;0,010742554809094
;True;TGF-b;MouseCaecum2;0,00301562616795308
;True;TGF-b;MouseCaecum3;0,037267553885358
;True;TGF-b;MouseCaecum4;0,00668470035275146
