;Target;Sample;Regulation
;CDC42;MouseCaecum2;n. def.
;CXCL9;MouseCaecum2;28,8570412877582
;IFN-g;MouseCaecum2;-14,9663603663641
;IL-10;MouseCaecum2;49,3151129513274
;IL-12;MouseCaecum2;-1,24162635847257
;IL-6;MouseCaecum2;-5,24977383072115
;Ppia;MouseCaecum2;n. def.
;Ppib;MouseCaecum2;n. def.
;STAT6;MouseCaecum2;-52,9298245344323
;TGF-b;MouseCaecum2;-3,56229658810322
