"","label","IFNy"
"1","P3aDAL",0
"2","P3aDJM",296.748537396371
"3","P3aDTY",0
"4","P3aDUN",26.2920556868341
"5","P3aDWO",0
"6","P3aEEZ",71.4308186448006
"7","P3aFJS",0
"8","P3aHIX",5.92617647133014
"9","P3aJGV",0
"10","P3aJIX",1.13376266139588
"11","P3aJJH",279.378503473262
"12","P3aKPZ",9.62578621607662
"13","P3aKUB",2.1253529448919
"14","P3aLKM",6.93375628339634
"15","P3aMAO",27.682622433774
"16","P3aMNQ",4.29589113725598
"17","P3aMVU",0
"18","P3aNLI",358.082663728646
"19","P3aNMF",0
"20","P3aNYG",247.11678102021
"21","P3aOML",0
"22","P3aOMQ",55.7513039998587
"23","P3aPLG",0
"24","P3aQBP",418.105036595285
"25","P3aREI",0
"26","P3aRJA",0
"27","P3aSQC",321.44271867591
"28","P3aSRE",80.4682673343534
"29","P3aSVZ",56.5514684871042
"30","P3aSWK",0
"31","P3aTOW",0
"32","P3aTSY",151.400530521322
"33","P3aTVC",9.40265410976475
"34","P3aUWS",30.5064882715071
"35","P3aUZT",0
"36","P3aWMM",32.2562706625771
"37","P3aXYE",4.06682666577567
"38","P3aYNS",25.4754716010109
"39","P3aZQY",0
"40","P3aZTI",264.226489898267
