Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR,Target SYBR
A1,LM_0332,27.98,28,0.12,-,eimeria
A2,LM_0332,27.88,28,0.12,-,eimeria
A3,LM_0332,28.12,28,0.12,-,eimeria
A4,LM_0332,22.87,22.88,0.25,-,mouse
A5,LM_0332,22.63,22.88,0.25,-,mouse
A6,LM_0332,23.12,22.88,0.25,-,mouse
A7,LM_0333,27.39,27.52,0.12,-,eimeria
A8,LM_0333,27.6,27.52,0.12,-,eimeria
A9,LM_0333,27.58,27.52,0.12,-,eimeria
A10,LM_0333,23.3,23.25,0.17,-,mouse
A11,LM_0333,23.06,23.25,0.17,-,mouse
A12,LM_0333,23.39,23.25,0.17,-,mouse
B1,LM_0334,27.88,28.01,0.56,-,eimeria
B2,LM_0334,27.53,28.01,0.56,-,eimeria
B3,LM_0334,28.62,28.01,0.56,-,eimeria
B4,LM_0334,23.33,23.4,0.18,-,mouse
B5,LM_0334,23.28,23.4,0.18,-,mouse
B6,LM_0334,23.61,23.4,0.18,-,mouse
B7,LM_0335,29,28.57,0.37,-,eimeria
B8,LM_0335,28.4,28.57,0.37,-,eimeria
B9,LM_0335,28.32,28.57,0.37,-,eimeria
B10,LM_0335,22.04,22.29,0.22,-,mouse
B11,LM_0335,22.4,22.29,0.22,-,mouse
B12,LM_0335,22.42,22.29,0.22,-,mouse
C1,LM_0336,28.32,28.37,0.29,-,eimeria
C2,LM_0336,28.68,28.37,0.29,-,eimeria
C3,LM_0336,28.11,28.37,0.29,-,eimeria
C4,LM_0336,23.78,23.76,0.02,-,mouse
C5,LM_0336,23.73,23.76,0.02,-,mouse
C6,LM_0336,23.76,23.76,0.02,-,mouse
C7,LM_0337,28.39,28.47,0.12,-,eimeria
C8,LM_0337,28.42,28.47,0.12,-,eimeria
C9,LM_0337,28.62,28.47,0.12,-,eimeria
C10,LM_0337,23.52,23.57,0.24,-,mouse
C11,LM_0337,23.35,23.57,0.24,-,mouse
C12,LM_0337,23.83,23.57,0.24,-,mouse
D1,LM_0338,23.17,23.4,0.31,-,eimeria
D2,LM_0338,23.28,23.4,0.31,-,eimeria
D3,LM_0338,23.75,23.4,0.31,-,eimeria
D4,LM_0338,21.81,21.95,0.16,-,mouse
D5,LM_0338,21.9,21.95,0.16,-,mouse
D6,LM_0338,22.13,21.95,0.16,-,mouse
D7,LM_0339,28.45,28.42,0.19,-,eimeria
D8,LM_0339,28.22,28.42,0.19,-,eimeria
D9,LM_0339,28.6,28.42,0.19,-,eimeria
D10,LM_0339,22.01,22.21,0.27,-,mouse
D11,LM_0339,22.1,22.21,0.27,-,mouse
D12,LM_0339,22.52,22.21,0.27,-,mouse
E1,LM_0340,27.61,28.7,0.98,-,eimeria
E2,LM_0340,28.97,28.7,0.98,-,eimeria
E3,LM_0340,29.51,28.7,0.98,-,eimeria
E4,LM_0340,18.69,18.21,1.36,-,mouse
E5,LM_0340,19.27,18.21,1.36,-,mouse
E6,LM_0340,16.69,18.21,1.36,-,mouse
E7,LM_0341,23.93,23.99,0.27,-,eimeria
E8,LM_0341,23.76,23.99,0.27,-,eimeria
E9,LM_0341,24.29,23.99,0.27,-,eimeria
E10,LM_0341,24.19,24.25,0.16,-,mouse
E11,LM_0341,24.13,24.25,0.16,-,mouse
E12,LM_0341,24.44,24.25,0.16,-,mouse
F1,LM_0342,28.72,28.37,0.3,-,eimeria
F2,LM_0342,28.17,28.37,0.3,-,eimeria
F3,LM_0342,28.21,28.37,0.3,-,eimeria
F4,LM_0342,22.94,23.05,0.34,-,mouse
F5,LM_0342,22.78,23.05,0.34,-,mouse
F6,LM_0342,23.43,23.05,0.34,-,mouse
F7,LM_0343,27.57,27.54,0.27,-,eimeria
F8,LM_0343,27.26,27.54,0.27,-,eimeria
F9,LM_0343,27.79,27.54,0.27,-,eimeria
F10,LM_0343,22.95,22.79,0.18,-,mouse
F11,LM_0343,22.6,22.79,0.18,-,mouse
F12,LM_0343,22.84,22.79,0.18,-,mouse
G1,LM_0344,28.71,28.61,0.11,-,eimeria
G2,LM_0344,28.61,28.61,0.11,-,eimeria
G3,LM_0344,28.49,28.61,0.11,-,eimeria
G4,LM_0344,25.11,25.17,0.07,-,mouse
G5,LM_0344,25.15,25.17,0.07,-,mouse
G6,LM_0344,25.25,25.17,0.07,-,mouse
G7,LM_0345,27.67,27.33,0.37,-,eimeria
G8,LM_0345,26.93,27.33,0.37,-,eimeria
G9,LM_0345,27.38,27.33,0.37,-,eimeria
G10,LM_0345,24.1,24.13,0.1,-,mouse
G11,LM_0345,24.24,24.13,0.1,-,mouse
G12,LM_0345,24.05,24.13,0.1,-,mouse
