"Pos","Name","Ct SYBR","Ct Mean SYBR","Ct Dev. SYBR","Amount SYBR","Target SYBR"
"A1","LM_0332",21.5,21.71,0.19,"-","eimeria"
"A2","LM_0332",21.86,21.71,0.19,"-","eimeria"
"A3","LM_0332",21.78,21.71,0.19,"-","eimeria"
"A4","LM_0332",31.16,31.1,0.2,"-","mouse"
"A5","LM_0332",31.26,31.1,0.2,"-","mouse"
"A6","LM_0332",30.88,31.1,0.2,"-","mouse"
"A7","LM_0333",24.37,22.91,1.51,"-","eimeria"
"A8","LM_0333",22.99,22.91,1.51,"-","eimeria"
"A9","LM_0333",21.36,22.91,1.51,"-","eimeria"
"A10","LM_0333",28.2,28.26,0.29,"-","mouse"
"A11","LM_0333",28.58,28.26,0.29,"-","mouse"
"A12","LM_0333",28.01,28.26,0.29,"-","mouse"
"B1","LM_0334",22.9,23.23,0.44,"-","eimeria"
"B2","LM_0334",23.05,23.23,0.44,"-","eimeria"
"B3","LM_0334",23.72,23.23,0.44,"-","eimeria"
"B4","LM_0334",33.23,32.3,0.91,"-","mouse"
"B5","LM_0334",31.4,32.3,0.91,"-","mouse"
"B6","LM_0334",32.28,32.3,0.91,"-","mouse"
"B7","LM_0335",17.87,20.25,2.39,"-","eimeria"
"B8","LM_0335",20.23,20.25,2.39,"-","eimeria"
"B9","LM_0335",22.64,20.25,2.39,"-","eimeria"
"B10","LM_0335",32.79,32.9,0.27,"-","mouse"
"B11","LM_0335",33.2,32.9,0.27,"-","mouse"
"B12","LM_0335",32.69,32.9,0.27,"-","mouse"
"C1","LM_0336",23.81,26.08,2.36,"-","eimeria"
"C2","LM_0336",25.89,26.08,2.36,"-","eimeria"
"C3","LM_0336",28.52,26.08,2.36,"-","eimeria"
"C4","LM_0336",31.67,31.67,0.29,"-","mouse"
"C5","LM_0336",31.96,31.67,0.29,"-","mouse"
"C6","LM_0336",31.38,31.67,0.29,"-","mouse"
"C7","LM_0337",22.99,23.12,0.25,"-","eimeria"
"C8","LM_0337",22.97,23.12,0.25,"-","eimeria"
"C9","LM_0337",23.42,23.12,0.25,"-","eimeria"
"C10","LM_0337",32.14,32.43,0.37,"-","mouse"
"C11","LM_0337",32.31,32.43,0.37,"-","mouse"
"C12","LM_0337",32.85,32.43,0.37,"-","mouse"
"D1","LM_0338",26.1,24.14,2.01,"-","eimeria"
"D2","LM_0338",22.08,24.14,2.01,"-","eimeria"
"D3","LM_0338",24.24,24.14,2.01,"-","eimeria"
"D4","LM_0338",21.96,22.12,0.14,"-","mouse"
"D5","LM_0338",22.16,22.12,0.14,"-","mouse"
"D6","LM_0338",22.23,22.12,0.14,"-","mouse"
"D7","LM_0339",22.13,21.71,0.59,"-","eimeria"
"D8","LM_0339",21.96,21.71,0.59,"-","eimeria"
"D9","LM_0339",21.04,21.71,0.59,"-","eimeria"
"D10","LM_0339",31.91,32.25,0.52,"-","mouse"
"D11","LM_0339",32.85,32.25,0.52,"-","mouse"
"D12","LM_0339",31.99,32.25,0.52,"-","mouse"
"E1","LM_0340",20.1,24.43,8.51,"-","eimeria"
"E2","LM_0340",18.95,24.43,8.51,"-","eimeria"
"E3","LM_0340",34.22,24.43,8.51,"-","eimeria"
"E4","LM_0340",23.08,23.59,2.16,"-","mouse"
"E5","LM_0340",21.72,23.59,2.16,"-","mouse"
"E6","LM_0340",25.95,23.59,2.16,"-","mouse"
"E7","LM_0341",23.17,23.33,0.16,"-","eimeria"
"E8","LM_0341",23.33,23.33,0.16,"-","eimeria"
"E9","LM_0341",23.5,23.33,0.16,"-","eimeria"
"E10","LM_0341",24.66,24.74,0.14,"-","mouse"
"E11","LM_0341",24.9,24.74,0.14,"-","mouse"
"E12","LM_0341",24.68,24.74,0.14,"-","mouse"
"F1","LM_0342","",26.34,2.32,"-","eimeria"
"F2","LM_0342",27.98,26.34,2.32,"-","eimeria"
"F3","LM_0342",24.7,26.34,2.32,"-","eimeria"
"F4","LM_0342",33.69,33.79,0.12,"-","mouse"
"F5","LM_0342",33.92,33.79,0.12,"-","mouse"
"F6","LM_0342",33.76,33.79,0.12,"-","mouse"
"F7","LM_0343",22.66,22.85,0.16,"-","eimeria"
"F8","LM_0343",22.94,22.85,0.16,"-","eimeria"
"F9","LM_0343",22.94,22.85,0.16,"-","eimeria"
"F10","LM_0343",32.4,32.54,0.14,"-","mouse"
"F11","LM_0343",32.52,32.54,0.14,"-","mouse"
"F12","LM_0343",32.68,32.54,0.14,"-","mouse"
"G1","LM_0344",25.39,24.92,0.41,"-","eimeria"
"G2","LM_0344",24.72,24.92,0.41,"-","eimeria"
"G3","LM_0344",24.64,24.92,0.41,"-","eimeria"
"G4","LM_0344",32.58,26.47,14.32,"-","mouse"
"G5","LM_0344",10.11,26.47,14.32,"-","mouse"
"G6","LM_0344",36.72,26.47,14.32,"-","mouse"
"G7","LM_0345",24.14,24.34,0.22,"-","eimeria"
"G8","LM_0345",24.3,24.34,0.22,"-","eimeria"
"G9","LM_0345",24.57,24.34,0.22,"-","eimeria"
"G10","LM_0345",29.35,29.46,0.78,"-","mouse"
"G11","LM_0345",30.29,29.46,0.78,"-","mouse"
"G12","LM_0345",28.74,29.46,0.78,"-","mouse"
