Well,Sample Name,Detector,Ct,StdDev Ct,MC
A1,LM_0332,Eimeria,31.1,0.442,TRUE
A2,LM_0332,Eimeria,31.21,0.442,TRUE
A3,LM_0332,Eimeria,31.92,0.442,TRUE
A4,LM_0332,Mus,22.07,0.275,TRUE
A5,LM_0332,Mus,22.3,0.275,TRUE
A6,LM_0332,Mus,21.76,0.275,TRUE
A7,LM_0340,Eimeria,26.16,3.239,TRUE
A8,LM_0340,Eimeria,28.52,3.239,TRUE
A9,LM_0340,Eimeria,32.56,3.239,TRUE
A10,LM_0340,Mus,21.24,1.027,TRUE
A11,LM_0340,Mus,22.95,1.027,TRUE
A12,LM_0340,Mus,21.11,1.027,TRUE
B1,LM_0333,Eimeria,29.15,0.102,TRUE
B2,LM_0333,Eimeria,28.97,0.102,TRUE
B3,LM_0333,Eimeria,29.14,0.102,TRUE
B4,LM_0333,Mus,22.71,0.557,TRUE
B5,LM_0333,Mus,23.12,0.557,TRUE
B6,LM_0333,Mus,22.02,0.557,TRUE
B7,LM_0341,Eimeria,24.23,0.228,TRUE
B8,LM_0341,Eimeria,24.45,0.228,TRUE
B9,LM_0341,Eimeria,24.69,0.228,TRUE
B10,LM_0341,Mus,22.94,0.328,TRUE
B11,LM_0341,Mus,23.03,0.328,TRUE
B12,LM_0341,Mus,22.42,0.328,TRUE
C1,LM_0334,Eimeria,21.08,3.836,FALSE
C2,LM_0334,Eimeria,21.74,3.836,FALSE
C3,LM_0334,Eimeria,28.03,3.836,FALSE
C4,LM_0334,Mus,23.25,1.281,TRUE
C5,LM_0334,Mus,20.87,1.281,TRUE
C6,LM_0334,Mus,22.88,1.281,TRUE
C7,LM_0342,Eimeria,32.67,0.147,FALSE
C8,LM_0342,Eimeria,32.45,0.147,FALSE
C9,LM_0342,Eimeria,32.72,0.147,FALSE
C10,LM_0342,Mus,23.3,0.221,TRUE
C11,LM_0342,Mus,23.38,0.221,TRUE
C12,LM_0342,Mus,22.96,0.221,TRUE
D1,LM_0335,Eimeria,19.63,1.241,FALSE
D2,LM_0335,Eimeria,19.67,1.241,FALSE
D3,LM_0335,Eimeria,21.8,1.241,FALSE
D4,LM_0335,Mus,21.1,1.475,TRUE
D5,LM_0335,Mus,20.16,1.475,TRUE
D6,LM_0335,Mus,18.21,1.475,TRUE
D7,LM_0343,Eimeria,32.15,0.382,FALSE
D8,LM_0343,Eimeria,31.69,0.382,FALSE
D9,LM_0343,Eimeria,31.4,0.382,FALSE
D10,LM_0343,Mus,22.83,0.407,TRUE
D11,LM_0343,Mus,22.99,0.407,TRUE
D12,LM_0343,Mus,22.22,0.407,TRUE
E1,LM_0336,Eimeria,30.61,1.137,TRUE
E2,LM_0336,Eimeria,30.48,1.137,TRUE
E3,LM_0336,Eimeria,32.51,1.137,TRUE
E4,LM_0336,Mus,23.19,0.383,TRUE
E5,LM_0336,Mus,22.86,0.383,TRUE
E6,LM_0336,Mus,23.62,0.383,TRUE
E7,LM_0344,Eimeria,34.07,1.016,FALSE
E8,LM_0344,Eimeria,32.21,1.016,FALSE
E9,LM_0344,Eimeria,32.44,1.016,FALSE
E10,LM_0344,Mus,24.59,0.31,TRUE
E11,LM_0344,Mus,25.16,0.31,TRUE
E12,LM_0344,Mus,25.09,0.31,TRUE
F1,LM_0337,Eimeria,31.33,0.326,FALSE
F2,LM_0337,Eimeria,31.7,0.326,FALSE
F3,LM_0337,Eimeria,31.05,0.326,FALSE
F4,LM_0337,Mus,22.45,0.039,TRUE
F5,LM_0337,Mus,22.44,0.039,TRUE
F6,LM_0337,Mus,22.38,0.039,TRUE
F7,LM_0345,Eimeria,28.52,0.506,TRUE
F8,LM_0345,Eimeria,28.34,0.506,TRUE
F9,LM_0345,Eimeria,27.57,0.506,TRUE
F10,LM_0345,Mus,24.03,0.357,TRUE
F11,LM_0345,Mus,23.94,0.357,TRUE
F12,LM_0345,Mus,23.37,0.357,TRUE
G1,LM_0338,Eimeria,21.38,0.21,TRUE
G2,LM_0338,Eimeria,21.52,0.21,TRUE
G3,LM_0338,Eimeria,21.79,0.21,TRUE
G4,LM_0338,Mus,21.11,0.531,TRUE
G5,LM_0338,Mus,21.26,0.531,TRUE
G6,LM_0338,Mus,20.27,0.531,TRUE
G7,LM_0346,Eimeria,33.03,0.382,FALSE
G8,LM_0346,Eimeria,33.25,0.382,FALSE
G9,LM_0346,Eimeria,32.51,0.382,FALSE
G10,LM_0346,Mus,23.95,0.225,TRUE
G11,LM_0346,Mus,23.88,0.225,TRUE
G12,LM_0346,Mus,23.53,0.225,TRUE
H1,LM_0339,Eimeria,27.11,2.288,FALSE
H2,LM_0339,Eimeria,27.58,2.288,FALSE
H3,LM_0339,Eimeria,31.29,2.288,FALSE
H4,LM_0339,Mus,22.05,0.114,TRUE
H5,LM_0339,Mus,21.89,0.114,TRUE
H6,LM_0339,Mus,22.11,0.114,TRUE
H7,NTC,NTC_eim,34.98,1.852,FALSE
H8,NTC,NTC_eim,34.7,1.852,FALSE
H9,NTC,NTC_eim,38.04,1.852,FALSE
H10,NTC,NTC_mus,35.53,,FALSE
H11,NTC,NTC_mus,Undetermined,,FALSE
H12,NTC,NTC_mus,Undetermined,,FALSE
