Document Name: P3_qPCR1.2 
Plate Type: Absolute Quantification
User: user

Document Information

Operator: user
Run Date: Tuesday, May 12, 2020 12:32:27
Last Modified: Tuesday, May 12, 2020 14:16:11
Instrument Type: Applied Biosystems 7300 Real-Time PCR System

Comments:
SDS v1.3

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
G2,LM_0338,Eimeria,Unknown,21.52,0.210,,,,,76.70
G3,LM_0338,Eimeria,Unknown,21.79,0.210,,,,,76.90
G4,LM_0338,Mus,Unknown,21.11,0.531,,,,,82.60
G5,LM_0338,Mus,Unknown,21.26,0.531,,,,,82.60
G6,LM_0338,Mus,Unknown,20.27,0.531,,,,,82.60
G7,LM_0346,Eimeria,Unknown,33.03,0.382,,,,,84.00
G8,LM_0346,Eimeria,Unknown,33.25,0.382,,,,,76.40
G9,LM_0346,Eimeria,Unknown,32.51,0.382,,,,,85.10
G10,LM_0346,Mus,Unknown,23.95,0.225,,,,,82.30
G11,LM_0346,Mus,Unknown,23.88,0.225,,,,,82.00
G12,LM_0346,Mus,Unknown,23.53,0.225,,,,,82.00
H1,LM_0339,Eimeria,Unknown,27.11,2.288,,,,,80.90
H2,LM_0339,Eimeria,Unknown,27.58,2.288,,,,,81.20
H3,LM_0339,Eimeria,Unknown,31.29,2.288,,,,,76.40
H4,LM_0339,Mus,Unknown,22.05,0.114,,,,,82.30
H5,LM_0339,Mus,Unknown,21.89,0.114,,,,,82.30
H6,LM_0339,Mus,Unknown,22.11,0.114,,,,,82.60
H7,NTC,NTC_eim,Unknown,34.98,1.852,,,,,76.90
H8,NTC,NTC_eim,Unknown,34.70,1.852,,,,,78.30
H9,NTC,NTC_eim,Unknown,38.04,1.852,,,,,78.30
H10,NTC,NTC_mus,Unknown,35.53,,,,,,81.80
H11,NTC,NTC_mus,Unknown,Undetermined,,,,,,74.30
H12,NTC,NTC_mus,Unknown,Undetermined,,,,,,86.30
