;Target;Sample;Regulation
;CDC42;MouseCaecum2;n. def.
;CXCL9;MouseCaecum2;-32,8483715606307
;IFN-g;MouseCaecum2;-18,2830371189362
;IL-10;MouseCaecum2;-35,8514343309881
;IL-12;MouseCaecum2;-9,90817967905303
;IL-6;MouseCaecum2;-1,05840937022379
;Ppia;MouseCaecum2;n. def.
;Ppib;MouseCaecum2;n. def.
;STAT6;MouseCaecum2;-1,1540774696078
;TGF-b;MouseCaecum2;-7,95414999606727
