"","EH_ID","delta"
"1","LM_0334",-4.94
"2","LM_0335",-5.57
"3","LM_0336",-4.02
"4","LM_0337",-7.09
"5","LM_0338",-1.65
"6","LM_0339",-8.94
"7","LM_0341",-1.78
"8","LM_0342",-6.11
"9","LM_0343",-8.44
"10","LM_0344",-8.06
"11","LM_0345",-4.38
"12","LM_0346",-8.74
"13","LM_0347",-8.73
"14","LM_0332",-5.12
"21","LM_0333",-4.27
"91","LM_0340",-10.49
