Well,Sample Name,Detector,Task,Std_series,Ct,Ct_mean,Sd_Ct,Qty,Qty_mean,Sd_Qty,Date,Operator,Cycler,Oocyst_count,Parasite,Sample_type,Feces_weight,Qubit,NanoDrop,Extraction,Beads_weight,Tm
C2,Eimeria_10_4,Eimeria,Standard,A,20.295393942,20.6040227789,0.493300871,20000,,,90720,Victor,BioRad,20000,E_falciformis,Oocysts,,,,Glass_beads,,74
C3,Eimeria_10_4,Eimeria,Standard,A,21.1729538035,20.6040227789,0.493300871,20000,,,90720,Victor,BioRad,20000,E_falciformis,Oocysts,,,,Glass_beads,,74
C4,Eimeria_10_4,Eimeria,Standard,B,20.6596287712,20.6881638409,1.091470735,20000,,,90720,Victor,BioRad,20000,E_falciformis,Oocysts,,,,Glass_beads,,74
C5,Eimeria_10_4,Eimeria,Standard,B,21.7936223203,20.6881638409,1.091470735,20000,,,90720,Victor,BioRad,20000,E_falciformis,Oocysts,,,,Glass_beads,,74
C6,Eimeria_10_4,Eimeria,Standard,B,19.6112404311,20.6881638409,1.091470735,20000,,,90720,Victor,BioRad,20000,E_falciformis,Oocysts,,,,Glass_beads,,74
D1,Eimeria_10_3,Eimeria,Standard,A,24.8860493835,25.5669214293,0.7919453965,2000,,,90720,Victor,BioRad,2000,E_falciformis,Oocysts,,,,Glass_beads,,74
D2,Eimeria_10_3,Eimeria,Standard,A,25.3786917224,25.5669214293,0.7919453965,2000,,,90720,Victor,BioRad,2000,E_falciformis,Oocysts,,,,Glass_beads,,74
D3,Eimeria_10_3,Eimeria,Standard,A,26.436023182,25.5669214293,0.7919453965,2000,,,90720,Victor,BioRad,2000,E_falciformis,Oocysts,,,,Glass_beads,,74
D4,Eimeria_10_3,Eimeria,Standard,B,27.6603979103,26.9707133938,3.0519650394,2000,,,90720,Victor,BioRad,2000,E_falciformis,Oocysts,,,,Glass_beads,,74
D5,Eimeria_10_3,Eimeria,Standard,B,29.6188198575,26.9707133938,3.0519650394,2000,,,90720,Victor,BioRad,2000,E_falciformis,Oocysts,,,,Glass_beads,,74
D6,Eimeria_10_3,Eimeria,Standard,B,23.6329224135,26.9707133938,3.0519650394,2000,,,90720,Victor,BioRad,2000,E_falciformis,Oocysts,,,,Glass_beads,,74
E1,Eimeria_10_2,Eimeria,Standard,A,29.6568255592,29.9383339664,0.2491718866,200,,,90720,Victor,BioRad,200,E_falciformis,Oocysts,,,,Glass_beads,,74
E2,Eimeria_10_2,Eimeria,Standard,A,30.130579835,29.9383339664,0.2491718866,200,,,90720,Victor,BioRad,200,E_falciformis,Oocysts,,,,Glass_beads,,74
E3,Eimeria_10_2,Eimeria,Standard,A,30.0275965049,29.9383339664,0.2491718866,200,,,90720,Victor,BioRad,200,E_falciformis,Oocysts,,,,Glass_beads,,74
E4,Eimeria_10_2,Eimeria,Standard,B,29.8418983114,29.1151679584,1.1429428473,200,,,90720,Victor,BioRad,200,E_falciformis,Oocysts,,,,Glass_beads,,74
E5,Eimeria_10_2,Eimeria,Standard,B,29.7058549806,29.1151679584,1.1429428473,200,,,90720,Victor,BioRad,200,E_falciformis,Oocysts,,,,Glass_beads,,74
E6,Eimeria_10_2,Eimeria,Standard,B,27.7977505833,29.1151679584,1.1429428473,200,,,90720,Victor,BioRad,200,E_falciformis,Oocysts,,,,Glass_beads,,74
F1,Eimeria_10_1,Eimeria,Standard,A,36.1361976785,35.2442372185,0.8069737599,20,,,90720,Victor,BioRad,20,E_falciformis,Oocysts,,,,Glass_beads,,74
F2,Eimeria_10_1,Eimeria,Standard,A,34.5647798965,35.2442372185,0.8069737599,20,,,90720,Victor,BioRad,20,E_falciformis,Oocysts,,,,Glass_beads,,74.5
F3,Eimeria_10_1,Eimeria,Standard,A,35.0317340803,35.2442372185,0.8069737599,20,,,90720,Victor,BioRad,20,E_falciformis,Oocysts,,,,Glass_beads,,74.5
F4,Eimeria_10_1,Eimeria,Standard,B,33.3135334295,32.6382813729,1.1258964206,20,,,90720,Victor,BioRad,20,E_falciformis,Oocysts,,,,Glass_beads,,74.5
F5,Eimeria_10_1,Eimeria,Standard,B,33.2627721488,32.6382813729,1.1258964206,20,,,90720,Victor,BioRad,20,E_falciformis,Oocysts,,,,Glass_beads,,74.5
F6,Eimeria_10_1,Eimeria,Standard,B,31.3385385404,32.6382813729,1.1258964206,20,,,90720,Victor,BioRad,20,E_falciformis,Oocysts,,,,Glass_beads,,74.5
G1,Eimeria_10_0,Eimeria,Standard,A,33.6556483357,34.3872767649,1.2496842455,2,,,90720,Victor,BioRad,2,E_falciformis,Oocysts,,,,Glass_beads,,74.5
G2,Eimeria_10_0,Eimeria,Standard,A,35.2257240337,34.3872767649,1.2496842455,2,,,90720,Victor,BioRad,2,E_falciformis,Oocysts,,,,Glass_beads,,74.5
G3,Eimeria_10_0,Eimeria,Standard,A,34.2804579253,34.3872767649,1.2496842455,2,,,90720,Victor,BioRad,2,E_falciformis,Oocysts,,,,Glass_beads,,75
G4,Eimeria_10_0,Eimeria,Standard,B,37.4042782961,36.0180915854,1.515816679,2,,,90720,Victor,BioRad,2,E_falciformis,Oocysts,,,,Glass_beads,,71
G5,Eimeria_10_0,Eimeria,Standard,B,36.2505062023,36.0180915854,1.515816679,2,,,90720,Victor,BioRad,2,E_falciformis,Oocysts,,,,Glass_beads,,74.5
G6,Eimeria_10_0,Eimeria,Standard,B,34.3994902579,36.0180915854,1.515816679,2,,,90720,Victor,BioRad,2,E_falciformis,Oocysts,,,,Glass_beads,,75
H1,H2O,Eimeria,NTC,,37.7540167344,37.7540167344,0,,,,90720,Victor,BioRad,0,E_falciformis,water,,,,,,75
H2,H2O,Eimeria,NTC,,,0,0,,,,90720,Victor,BioRad,0,E_falciformis,water,,,,,,
H3,H2O,Eimeria,NTC,,,0,0,,,,90720,Victor,BioRad,0,E_falciformis,water,,,,,,
