;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;1215,36485525335;(+) Positive;Unknown;Positive;False
;A02;SYBR;IL-10;Unkn;MouseCaecum1;1242,46843207231;(+) Positive;Unknown;Positive;False
;A03;SYBR;IL-12;Unkn;MouseCaecum1;1131,51534893056;(+) Positive;Unknown;Positive;False
;A04;SYBR;IL-6;Unkn;MouseCaecum1;828,246807345883;(+) Positive;Unknown;Positive;False
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;1036,65358448646;(+) Positive;Unknown;Positive;False
;A06;SYBR;STAT6;Unkn;MouseCaecum1;782,633496930553;(+) Positive;Unknown;Positive;False
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;782,514122351509;(+) Positive;Unknown;Positive;False
;A08;SYBR;Ppia;Unkn;MouseCaecum1;852,13273115778;(+) Positive;Unknown;Positive;False
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;783,251634458865;(+) Positive;ControlPositive;Positive;False
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;656,005238376242;(+) Positive;ControlPositive;Positive;False
;A11;SYBR;;Neg Ctrl;;-2,08753462150862;;ControlNegative;Negative;True
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;1621,91378044162;(+) Positive;Unknown;Positive;False
;B02;SYBR;IL-10;Unkn;MouseCaecum1;1284,32028770788;(+) Positive;Unknown;Positive;False
;B03;SYBR;IL-12;Unkn;MouseCaecum1;1225,6914499673;(+) Positive;Unknown;Positive;False
;B04;SYBR;IL-6;Unkn;MouseCaecum1;1115,17993105885;(+) Positive;Unknown;Positive;False
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;1397,57992965329;(+) Positive;Unknown;Positive;False
;B06;SYBR;STAT6;Unkn;MouseCaecum1;845,693520928017;(+) Positive;Unknown;Positive;False
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;891,631420684256;(+) Positive;Unknown;Positive;False
;B08;SYBR;Ppia;Unkn;MouseCaecum1;935,171046628394;(+) Positive;Unknown;Positive;False
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;814,324555347414;(+) Positive;ControlPositive;Positive;False
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;629,062737552524;(+) Positive;ControlPositive;Positive;False
;B11;SYBR;;Neg Ctrl;;-2,01777994730119;;ControlNegative;Negative;True
