;True;Target;Sample;Regulation;P-Value;Exceeds P-Value Threshold;Compared to Regulation Threshold
;True;CDC42;MouseCaecum2;n. def.;0,168380033283176;Yes;No change
;True;CXCL9;MouseCaecum2;-129,654847262604;0,13678992045229;Yes;Down regulated
;True;IFN-g;MouseCaecum2;-142,397225440927;0,021885542650242;Yes;Down regulated
;True;IL-10;MouseCaecum2;-2,68269835149703;0,410792627207165;Yes;No change
;True;IL-12;MouseCaecum2;-1,69040868238304;0,505137593844762;Yes;No change
;True;IL-6;MouseCaecum2;-2,96048983894374;0,200214096765474;Yes;No change
;True;Ppia;MouseCaecum2;n. def.;0,723537890306369;Yes;No change
;True;Ppib;MouseCaecum2;n. def.;0,321061711713786;Yes;No change
;True;STAT6;MouseCaecum2;1,97338510606534;0,0342130145138037;Yes;No change
;True;TGF-b;MouseCaecum2;-1,02852163388593;0,834479632665988;Yes;No change
